ID	number_of_datasets	link
MBNL1	3	?type=Experiment&target.label=MBNL1
MCM7	3	?type=Experiment&target.label=MCM7
MEIS1	3	?type=Experiment&target.label=MEIS1
MEIS2	3	?type=Experiment&target.label=MEIS2
METAP2	3	?type=Experiment&target.label=METAP2
MITF	3	?type=Experiment&target.label=MITF
MLX	3	?type=Experiment&target.label=MLX
MTA1	3	?type=Experiment&target.label=MTA1
MTF1	3	?type=Experiment&target.label=MTF1
MTPAP	3	?type=Experiment&target.label=MTPAP
Myc	3	?type=Experiment&target.label=Myc
NANOG	3	?type=Experiment&target.label=NANOG
NCOA2	3	?type=Experiment&target.label=NCOA2
NFIB	3	?type=Experiment&target.label=NFIB
NOL12	3	?type=Experiment&target.label=NOL12
NR2C1	3	?type=Experiment&target.label=NR2C1
PABPC4	3	?type=Experiment&target.label=PABPC4
PHF6	3	?type=Experiment&target.label=PHF6
PML	3	?type=Experiment&target.label=PML
PPIG	3	?type=Experiment&target.label=PPIG
PRDM1	3	?type=Experiment&target.label=PRDM1
PRDM10	3	?type=Experiment&target.label=PRDM10
PRDM15	3	?type=Experiment&target.label=PRDM15
PUF60	3	?type=Experiment&target.label=PUF60
PUM2	3	?type=Experiment&target.label=PUM2
PUS1	3	?type=Experiment&target.label=PUS1
R02D3.7	3	?type=Experiment&target.label=R02D3.7
RBM14	3	?type=Experiment&target.label=RBM14
RBM34	3	?type=Experiment&target.label=RBM34
RBM5	3	?type=Experiment&target.label=RBM5
RECQL	3	?type=Experiment&target.label=RECQL
RPL23A	3	?type=Experiment&target.label=RPL23A
RPLP0	3	?type=Experiment&target.label=RPLP0
RPS10	3	?type=Experiment&target.label=RPS10
RPS11	3	?type=Experiment&target.label=RPS11
RPS5	3	?type=Experiment&target.label=RPS5
RUNX1	3	?type=Experiment&target.label=RUNX1
SBDS	3	?type=Experiment&target.label=SBDS
SERBP1	3	?type=Experiment&target.label=SERBP1
SF3A3	3	?type=Experiment&target.label=SF3A3
SIN3B	3	?type=Experiment&target.label=SIN3B
SIRT6	3	?type=Experiment&target.label=SIRT6
SIX4	3	?type=Experiment&target.label=SIX4
SKIL	3	?type=Experiment&target.label=SKIL
SMAD1	3	?type=Experiment&target.label=SMAD1
SMAD2	3	?type=Experiment&target.label=SMAD2
SMARCA5	3	?type=Experiment&target.label=SMARCA5
SMARCC2	3	?type=Experiment&target.label=SMARCC2
SMARCE1	3	?type=Experiment&target.label=SMARCE1
SNRNP70	3	?type=Experiment&target.label=SNRNP70
SOX13	3	?type=Experiment&target.label=SOX13
SOX6	3	?type=Experiment&target.label=SOX6
SSRP1	3	?type=Experiment&target.label=SSRP1
STAT2	3	?type=Experiment&target.label=STAT2
STAU2	3	?type=Experiment&target.label=STAU2
SUB1	3	?type=Experiment&target.label=SUB1
SUCLG1	3	?type=Experiment&target.label=SUCLG1
SUGP2	3	?type=Experiment&target.label=SUGP2
SYNCRIP	3	?type=Experiment&target.label=SYNCRIP
Su(var)205	3	?type=Experiment&target.label=Su(var)205
TAF7	3	?type=Experiment&target.label=TAF7
TCF4	3	?type=Experiment&target.label=TCF4
TEAD2	3	?type=Experiment&target.label=TEAD2
TFAP4	3	?type=Experiment&target.label=TFAP4
TGIF2	3	?type=Experiment&target.label=TGIF2
THRA	3	?type=Experiment&target.label=THRA
TRIM24	3	?type=Experiment&target.label=TRIM24
TRNAU1AP	3	?type=Experiment&target.label=TRNAU1AP
TfAP-2	3	?type=Experiment&target.label=TfAP-2
WDR3	3	?type=Experiment&target.label=WDR3
WHSC1	3	?type=Experiment&target.label=WHSC1
WRN	3	?type=Experiment&target.label=WRN
XPO5	3	?type=Experiment&target.label=XPO5
YWHAG	3	?type=Experiment&target.label=YWHAG
ZBTB1	3	?type=Experiment&target.label=ZBTB1
ZBTB17	3	?type=Experiment&target.label=ZBTB17
ZBTB26	3	?type=Experiment&target.label=ZBTB26
ZBTB49	3	?type=Experiment&target.label=ZBTB49
ZBTB5	3	?type=Experiment&target.label=ZBTB5
ZBTB8A	3	?type=Experiment&target.label=ZBTB8A
ZEB2	3	?type=Experiment&target.label=ZEB2
ZFP30	3	?type=Experiment&target.label=ZFP30
ZFP91	3	?type=Experiment&target.label=ZFP91
ZHX2	3	?type=Experiment&target.label=ZHX2
ZMYM3	3	?type=Experiment&target.label=ZMYM3
ZNF121	3	?type=Experiment&target.label=ZNF121
ZNF138	3	?type=Experiment&target.label=ZNF138
ZNF140	3	?type=Experiment&target.label=ZNF140
ZNF146	3	?type=Experiment&target.label=ZNF146
ZNF207	3	?type=Experiment&target.label=ZNF207
ZNF232	3	?type=Experiment&target.label=ZNF232
ZNF3	3	?type=Experiment&target.label=ZNF3
ZNF318	3	?type=Experiment&target.label=ZNF318
ZNF354B	3	?type=Experiment&target.label=ZNF354B
ZNF398	3	?type=Experiment&target.label=ZNF398
ZNF407	3	?type=Experiment&target.label=ZNF407
ZNF416	3	?type=Experiment&target.label=ZNF416
ZNF449	3	?type=Experiment&target.label=ZNF449
ZNF507	3	?type=Experiment&target.label=ZNF507
ZNF512B	3	?type=Experiment&target.label=ZNF512B
ZNF622	3	?type=Experiment&target.label=ZNF622
ZNF687	3	?type=Experiment&target.label=ZNF687
ZSCAN20	3	?type=Experiment&target.label=ZSCAN20
daf-12	3	?type=Experiment&target.label=daf-12
elt-1	3	?type=Experiment&target.label=elt-1
elt-2	3	?type=Experiment&target.label=elt-2
hpl-2	3	?type=Experiment&target.label=hpl-2
insv	3	?type=Experiment&target.label=insv
jun-1	3	?type=Experiment&target.label=jun-1
lin-15B	3	?type=Experiment&target.label=lin-15B
mep-1	3	?type=Experiment&target.label=mep-1
nhr-25	3	?type=Experiment&target.label=nhr-25
onecut	3	?type=Experiment&target.label=onecut
rpc-1	3	?type=Experiment&target.label=rpc-1
sc	3	?type=Experiment&target.label=sc
scro	3	?type=Experiment&target.label=scro
sens-2	3	?type=Experiment&target.label=sens-2
su(Hw)	3	?type=Experiment&target.label=su(Hw)
tbx-2	3	?type=Experiment&target.label=tbx-2
unc-130	3	?type=Experiment&target.label=unc-130
ztf-4	3	?type=Experiment&target.label=ztf-4
ABT1	2	?type=Experiment&target.label=ABT1
ACO1	2	?type=Experiment&target.label=ACO1
ACO2	2	?type=Experiment&target.label=ACO2
ACTN4	2	?type=Experiment&target.label=ACTN4
ADAT1	2	?type=Experiment&target.label=ADAT1
ADAT3	2	?type=Experiment&target.label=ADAT3
ADK	2	?type=Experiment&target.label=ADK
ADNP	2	?type=Experiment&target.label=ADNP
AFF1	2	?type=Experiment&target.label=AFF1
AGFG1	2	?type=Experiment&target.label=AGFG1
AGO2	2	?type=Experiment&target.label=AGO2
AHCYL2	2	?type=Experiment&target.label=AHCYL2
AIMP1	2	?type=Experiment&target.label=AIMP1
ALDOA	2	?type=Experiment&target.label=ALDOA
ALKBH1	2	?type=Experiment&target.label=ALKBH1
APEH	2	?type=Experiment&target.label=APEH
API5	2	?type=Experiment&target.label=API5
APTX	2	?type=Experiment&target.label=APTX
AR	2	?type=Experiment&target.label=AR
ARHGAP35	2	?type=Experiment&target.label=ARHGAP35
ARHGEF2	2	?type=Experiment&target.label=ARHGEF2
ARID2	2	?type=Experiment&target.label=ARID2
ARNTL	2	?type=Experiment&target.label=ARNTL
ASCC1	2	?type=Experiment&target.label=ASCC1
ATF6	2	?type=Experiment&target.label=ATF6
ATP5A1	2	?type=Experiment&target.label=ATP5A1
ATP5C1	2	?type=Experiment&target.label=ATP5C1
ATXN2L	2	?type=Experiment&target.label=ATXN2L
Abd-B	2	?type=Experiment&target.label=Abd-B
B52	2	?type=Experiment&target.label=B52
BARD1	2	?type=Experiment&target.label=BARD1
BAZ1A	2	?type=Experiment&target.label=BAZ1A
BCL6	2	?type=Experiment&target.label=BCL6
BDP1	2	?type=Experiment&target.label=BDP1
BOP1	2	?type=Experiment&target.label=BOP1
BRF1	2	?type=Experiment&target.label=BRF1
BRIX1	2	?type=Experiment&target.label=BRIX1
BZW2	2	?type=Experiment&target.label=BZW2
CACTIN	2	?type=Experiment&target.label=CACTIN
CAMTA2	2	?type=Experiment&target.label=CAMTA2
CAND1	2	?type=Experiment&target.label=CAND1
CARHSP1	2	?type=Experiment&target.label=CARHSP1
CARS	2	?type=Experiment&target.label=CARS
CAT	2	?type=Experiment&target.label=CAT
CBX1	2	?type=Experiment&target.label=CBX1
CCAR1	2	?type=Experiment&target.label=CCAR1
CDC5L	2	?type=Experiment&target.label=CDC5L
CDK9	2	?type=Experiment&target.label=CDK9
CDV3	2	?type=Experiment&target.label=CDV3
CDX2	2	?type=Experiment&target.label=CDX2
CENPI	2	?type=Experiment&target.label=CENPI
CG6227	2	?type=Experiment&target.label=CG6227
CG6841	2	?type=Experiment&target.label=CG6841
CG6854	2	?type=Experiment&target.label=CG6854
CG8636	2	?type=Experiment&target.label=CG8636
CHAMP1	2	?type=Experiment&target.label=CHAMP1
CHTOP	2	?type=Experiment&target.label=CHTOP
CIZ1	2	?type=Experiment&target.label=CIZ1
CLNS1A	2	?type=Experiment&target.label=CLNS1A
CLTC	2	?type=Experiment&target.label=CLTC
CMTR1	2	?type=Experiment&target.label=CMTR1
CNDP2	2	?type=Experiment&target.label=CNDP2
CNOT10	2	?type=Experiment&target.label=CNOT10
CNOT2	2	?type=Experiment&target.label=CNOT2
COPS2	2	?type=Experiment&target.label=COPS2
CPEB4	2	?type=Experiment&target.label=CPEB4
CPSF2	2	?type=Experiment&target.label=CPSF2
CPSF3	2	?type=Experiment&target.label=CPSF3
CPSF4	2	?type=Experiment&target.label=CPSF4
CREB3	2	?type=Experiment&target.label=CREB3
CREB5	2	?type=Experiment&target.label=CREB5
CSTF1	2	?type=Experiment&target.label=CSTF1
CTTN	2	?type=Experiment&target.label=CTTN
CXXC1	2	?type=Experiment&target.label=CXXC1
Cnot4	2	?type=Experiment&target.label=Cnot4
D	2	?type=Experiment&target.label=D
DBNL	2	?type=Experiment&target.label=DBNL
DCPS	2	?type=Experiment&target.label=DCPS
DDIT3	2	?type=Experiment&target.label=DDIT3
DDX1	2	?type=Experiment&target.label=DDX1
DDX18	2	?type=Experiment&target.label=DDX18
DDX19B	2	?type=Experiment&target.label=DDX19B
DDX27	2	?type=Experiment&target.label=DDX27
DDX28	2	?type=Experiment&target.label=DDX28
DDX39B	2	?type=Experiment&target.label=DDX39B
DEAF1	2	?type=Experiment&target.label=DEAF1
DHX57	2	?type=Experiment&target.label=DHX57
DICER1	2	?type=Experiment&target.label=DICER1
DLX4	2	?type=Experiment&target.label=DLX4
DMTF1	2	?type=Experiment&target.label=DMTF1
DNAJC2	2	?type=Experiment&target.label=DNAJC2
DNAJC21	2	?type=Experiment&target.label=DNAJC21
DUS3L	2	?type=Experiment&target.label=DUS3L
E(spl)mβ-HLH	2	?type=Experiment&target.label=E(spl)mβ-HLH
EBF1	2	?type=Experiment&target.label=EBF1
EED	2	?type=Experiment&target.label=EED
EIF2B3	2	?type=Experiment&target.label=EIF2B3
EIF2S1	2	?type=Experiment&target.label=EIF2S1
EIF2S2	2	?type=Experiment&target.label=EIF2S2
EIF6	2	?type=Experiment&target.label=EIF6
ELAC2	2	?type=Experiment&target.label=ELAC2
ERN1	2	?type=Experiment&target.label=ERN1
ERO1A	2	?type=Experiment&target.label=ERO1A
ESF1	2	?type=Experiment&target.label=ESF1
ESRRG	2	?type=Experiment&target.label=ESRRG
ETF1	2	?type=Experiment&target.label=ETF1
ETV5	2	?type=Experiment&target.label=ETV5
EXOSC10	2	?type=Experiment&target.label=EXOSC10
EXOSC2	2	?type=Experiment&target.label=EXOSC2
EXOSC9	2	?type=Experiment&target.label=EXOSC9
Eip74EF	2	?type=Experiment&target.label=Eip74EF
F13H6.1	2	?type=Experiment&target.label=F13H6.1
F23B12.7	2	?type=Experiment&target.label=F23B12.7
F49E8.2	2	?type=Experiment&target.label=F49E8.2
FBL	2	?type=Experiment&target.label=FBL
FLI1	2	?type=Experiment&target.label=FLI1
FOXP2	2	?type=Experiment&target.label=FOXP2
Fer3	2	?type=Experiment&target.label=Fer3
Fmr1	2	?type=Experiment&target.label=Fmr1
G3BP2	2	?type=Experiment&target.label=G3BP2
GATA4	2	?type=Experiment&target.label=GATA4
GATA6	2	?type=Experiment&target.label=GATA6
GATAD2A	2	?type=Experiment&target.label=GATAD2A
GEMIN2	2	?type=Experiment&target.label=GEMIN2
GFI1B	2	?type=Experiment&target.label=GFI1B
GLI4	2	?type=Experiment&target.label=GLI4
GLRX3	2	?type=Experiment&target.label=GLRX3
GSK3A	2	?type=Experiment&target.label=GSK3A
GSK3B	2	?type=Experiment&target.label=GSK3B
GTF2I	2	?type=Experiment&target.label=GTF2I
GTF3C2	2	?type=Experiment&target.label=GTF3C2
H3K23me2	2	?type=Experiment&target.label=H3K23me2
H3ac	2	?type=Experiment&target.label=H3ac
HBP1	2	?type=Experiment&target.label=HBP1
HES1	2	?type=Experiment&target.label=HES1
HHEX	2	?type=Experiment&target.label=HHEX
HIVEP1	2	?type=Experiment&target.label=HIVEP1
HMBOX1	2	?type=Experiment&target.label=HMBOX1
HMG20B	2	?type=Experiment&target.label=HMG20B
HMGA1	2	?type=Experiment&target.label=HMGA1
HMGA2	2	?type=Experiment&target.label=HMGA2
HMGN3	2	?type=Experiment&target.label=HMGN3
HNF1A	2	?type=Experiment&target.label=HNF1A
HNRNPAB	2	?type=Experiment&target.label=HNRNPAB
HNRNPD	2	?type=Experiment&target.label=HNRNPD
HOMEZ	2	?type=Experiment&target.label=HOMEZ
HSPD1	2	?type=Experiment&target.label=HSPD1
Hr39	2	?type=Experiment&target.label=Hr39
Hr4	2	?type=Experiment&target.label=Hr4
Hrb87F	2	?type=Experiment&target.label=Hrb87F
IFI16	2	?type=Experiment&target.label=IFI16
IFIT2	2	?type=Experiment&target.label=IFIT2
IRF4	2	?type=Experiment&target.label=IRF4
IRF5	2	?type=Experiment&target.label=IRF5
IRF9	2	?type=Experiment&target.label=IRF9
KAT7	2	?type=Experiment&target.label=KAT7
KAT8	2	?type=Experiment&target.label=KAT8
KDM6A	2	?type=Experiment&target.label=KDM6A
KIF1C	2	?type=Experiment&target.label=KIF1C
KLF1	2	?type=Experiment&target.label=KLF1
KLF6	2	?type=Experiment&target.label=KLF6
KMT2B	2	?type=Experiment&target.label=KMT2B
KPNB1	2	?type=Experiment&target.label=KPNB1
KRR1	2	?type=Experiment&target.label=KRR1
Kr	2	?type=Experiment&target.label=Kr
L3MBTL2	2	?type=Experiment&target.label=L3MBTL2
LARS	2	?type=Experiment&target.label=LARS
LCOR	2	?type=Experiment&target.label=LCOR
LCORL	2	?type=Experiment&target.label=LCORL
LSM7	2	?type=Experiment&target.label=LSM7
Lpt	2	?type=Experiment&target.label=Lpt
MAF1	2	?type=Experiment&target.label=MAF1
MAGOH	2	?type=Experiment&target.label=MAGOH
MAK16	2	?type=Experiment&target.label=MAK16
MARK2	2	?type=Experiment&target.label=MARK2
MBD2	2	?type=Experiment&target.label=MBD2
MCM2	2	?type=Experiment&target.label=MCM2
MCM5	2	?type=Experiment&target.label=MCM5
MECP2	2	?type=Experiment&target.label=MECP2
MEF2D	2	?type=Experiment&target.label=MEF2D
METTL1	2	?type=Experiment&target.label=METTL1
METTL3	2	?type=Experiment&target.label=METTL3
MGA	2	?type=Experiment&target.label=MGA
MORC2	2	?type=Experiment&target.label=MORC2
MSI2	2	?type=Experiment&target.label=MSI2
MXD1	2	?type=Experiment&target.label=MXD1
MXD3	2	?type=Experiment&target.label=MXD3
MXD4	2	?type=Experiment&target.label=MXD4
MYB	2	?type=Experiment&target.label=MYB
Mcm2	2	?type=Experiment&target.label=Mcm2
NAA15	2	?type=Experiment&target.label=NAA15
NCBP1	2	?type=Experiment&target.label=NCBP1
NCL	2	?type=Experiment&target.label=NCL
NCOA3	2	?type=Experiment&target.label=NCOA3
NEUROD1	2	?type=Experiment&target.label=NEUROD1
NFATC1	2	?type=Experiment&target.label=NFATC1
NFX1	2	?type=Experiment&target.label=NFX1
NIPBL	2	?type=Experiment&target.label=NIPBL
NPAS2	2	?type=Experiment&target.label=NPAS2
NSUN4	2	?type=Experiment&target.label=NSUN4
NUFIP2	2	?type=Experiment&target.label=NUFIP2
NUP35	2	?type=Experiment&target.label=NUP35
NUSAP1	2	?type=Experiment&target.label=NUSAP1
OTX1	2	?type=Experiment&target.label=OTX1
OdsH	2	?type=Experiment&target.label=OdsH
PA2G4	2	?type=Experiment&target.label=PA2G4
PABPN1	2	?type=Experiment&target.label=PABPN1
PAF1	2	?type=Experiment&target.label=PAF1
PAN2	2	?type=Experiment&target.label=PAN2
PARN	2	?type=Experiment&target.label=PARN
PARP1	2	?type=Experiment&target.label=PARP1
PDCD4	2	?type=Experiment&target.label=PDCD4
PHB2	2	?type=Experiment&target.label=PHB2
PHF20	2	?type=Experiment&target.label=PHF20
PHF21A	2	?type=Experiment&target.label=PHF21A
PKM	2	?type=Experiment&target.label=PKM
PNPT1	2	?type=Experiment&target.label=PNPT1
POLR3A	2	?type=Experiment&target.label=POLR3A
POLR3G	2	?type=Experiment&target.label=POLR3G
POU2F2	2	?type=Experiment&target.label=POU2F2
PPARD	2	?type=Experiment&target.label=PPARD
PPP1R8	2	?type=Experiment&target.label=PPP1R8
PRDM4	2	?type=Experiment&target.label=PRDM4
PREB	2	?type=Experiment&target.label=PREB
PRPF3	2	?type=Experiment&target.label=PRPF3
PRPF6	2	?type=Experiment&target.label=PRPF6
PSIP1	2	?type=Experiment&target.label=PSIP1
PSMA1	2	?type=Experiment&target.label=PSMA1
PTGES3	2	?type=Experiment&target.label=PTGES3
PYGO2	2	?type=Experiment&target.label=PYGO2
Pdp1	2	?type=Experiment&target.label=Pdp1
RAE1	2	?type=Experiment&target.label=RAE1
RARB	2	?type=Experiment&target.label=RARB
RAVER1	2	?type=Experiment&target.label=RAVER1
RBAK	2	?type=Experiment&target.label=RBAK
RBM19	2	?type=Experiment&target.label=RBM19
RBM27	2	?type=Experiment&target.label=RBM27
RBM3	2	?type=Experiment&target.label=RBM3
RBM47	2	?type=Experiment&target.label=RBM47
RBPJ	2	?type=Experiment&target.label=RBPJ
RCC2	2	?type=Experiment&target.label=RCC2
REPIN1	2	?type=Experiment&target.label=REPIN1
RFX3	2	?type=Experiment&target.label=RFX3
RING1	2	?type=Experiment&target.label=RING1
RNF187	2	?type=Experiment&target.label=RNF187
RNF219	2	?type=Experiment&target.label=RNF219
RPL11	2	?type=Experiment&target.label=RPL11
RPL28	2	?type=Experiment&target.label=RPL28
RPS19	2	?type=Experiment&target.label=RPS19
RPS3A	2	?type=Experiment&target.label=RPS3A
RPS6	2	?type=Experiment&target.label=RPS6
RREB1	2	?type=Experiment&target.label=RREB1
RRP9	2	?type=Experiment&target.label=RRP9
RTF1	2	?type=Experiment&target.label=RTF1
RYBP	2	?type=Experiment&target.label=RYBP
Rbp1	2	?type=Experiment&target.label=Rbp1
Rel	2	?type=Experiment&target.label=Rel
Rm62	2	?type=Experiment&target.label=Rm62
RnpS1	2	?type=Experiment&target.label=RnpS1
RpS3	2	?type=Experiment&target.label=RpS3
SALL1	2	?type=Experiment&target.label=SALL1
SAP30	2	?type=Experiment&target.label=SAP30
SART1	2	?type=Experiment&target.label=SART1
SART3	2	?type=Experiment&target.label=SART3
SC35	2	?type=Experiment&target.label=SC35
SF3A1	2	?type=Experiment&target.label=SF3A1
SF3A2	2	?type=Experiment&target.label=SF3A2
SLC30A9	2	?type=Experiment&target.label=SLC30A9
SMARCB1	2	?type=Experiment&target.label=SMARCB1
SMN1	2	?type=Experiment&target.label=SMN1
SMYD3	2	?type=Experiment&target.label=SMYD3
SNIP1	2	?type=Experiment&target.label=SNIP1
SNRNP200	2	?type=Experiment&target.label=SNRNP200
SNRPC	2	?type=Experiment&target.label=SNRPC
SPDEF	2	?type=Experiment&target.label=SPDEF
SRFBP1	2	?type=Experiment&target.label=SRFBP1
SRP68	2	?type=Experiment&target.label=SRP68
SRPK2	2	?type=Experiment&target.label=SRPK2
STAG1	2	?type=Experiment&target.label=STAG1
STAT5B	2	?type=Experiment&target.label=STAT5B
STAT6	2	?type=Experiment&target.label=STAT6
STAU1	2	?type=Experiment&target.label=STAU1
STIP1	2	?type=Experiment&target.label=STIP1
SUPT20H	2	?type=Experiment&target.label=SUPT20H
SUPT6H	2	?type=Experiment&target.label=SUPT6H
Sin3A	2	?type=Experiment&target.label=Sin3A
Srp54	2	?type=Experiment&target.label=Srp54
Syp	2	?type=Experiment&target.label=Syp
TAF9	2	?type=Experiment&target.label=TAF9
TBX3	2	?type=Experiment&target.label=TBX3
TCF15	2	?type=Experiment&target.label=TCF15
TCF25	2	?type=Experiment&target.label=TCF25
TCFL5	2	?type=Experiment&target.label=TCFL5
TFAM	2	?type=Experiment&target.label=TFAM
TFAP2C	2	?type=Experiment&target.label=TFAP2C
TFE3	2	?type=Experiment&target.label=TFE3
TFIP11	2	?type=Experiment&target.label=TFIP11
THAP1	2	?type=Experiment&target.label=THAP1
THOC1	2	?type=Experiment&target.label=THOC1
THRB	2	?type=Experiment&target.label=THRB
TOX4	2	?type=Experiment&target.label=TOX4
TP53	2	?type=Experiment&target.label=TP53
TRIM25	2	?type=Experiment&target.label=TRIM25
TRIM56	2	?type=Experiment&target.label=TRIM56
TSC22D2	2	?type=Experiment&target.label=TSC22D2
TSHZ1	2	?type=Experiment&target.label=TSHZ1
TUFM	2	?type=Experiment&target.label=TUFM
UBE2L3	2	?type=Experiment&target.label=UBE2L3
UPF2	2	?type=Experiment&target.label=UPF2
Upf1	2	?type=Experiment&target.label=Upf1
VEZF1	2	?type=Experiment&target.label=VEZF1
WBP11	2	?type=Experiment&target.label=WBP11
XPO1	2	?type=Experiment&target.label=XPO1
XRN1	2	?type=Experiment&target.label=XRN1
YTHDC2	2	?type=Experiment&target.label=YTHDC2
ZBED1	2	?type=Experiment&target.label=ZBED1
ZBTB10	2	?type=Experiment&target.label=ZBTB10
ZBTB12	2	?type=Experiment&target.label=ZBTB12
ZBTB2	2	?type=Experiment&target.label=ZBTB2
ZBTB21	2	?type=Experiment&target.label=ZBTB21
ZBTB34	2	?type=Experiment&target.label=ZBTB34
ZBTB4	2	?type=Experiment&target.label=ZBTB4
ZBTB44	2	?type=Experiment&target.label=ZBTB44
ZBTB7B	2	?type=Experiment&target.label=ZBTB7B
ZC3H10	2	?type=Experiment&target.label=ZC3H10
ZC3H4	2	?type=Experiment&target.label=ZC3H4
ZFP1	2	?type=Experiment&target.label=ZFP1
ZFP3	2	?type=Experiment&target.label=ZFP3
ZFP36L1	2	?type=Experiment&target.label=ZFP36L1
ZFP36L2	2	?type=Experiment&target.label=ZFP36L2
ZFP37	2	?type=Experiment&target.label=ZFP37
ZFP41	2	?type=Experiment&target.label=ZFP41
ZFP64	2	?type=Experiment&target.label=ZFP64
ZIK1	2	?type=Experiment&target.label=ZIK1
ZKSCAN8	2	?type=Experiment&target.label=ZKSCAN8
ZNF10	2	?type=Experiment&target.label=ZNF10
ZNF101	2	?type=Experiment&target.label=ZNF101
ZNF106	2	?type=Experiment&target.label=ZNF106
ZNF114	2	?type=Experiment&target.label=ZNF114
ZNF12	2	?type=Experiment&target.label=ZNF12
ZNF124	2	?type=Experiment&target.label=ZNF124
ZNF133	2	?type=Experiment&target.label=ZNF133
ZNF148	2	?type=Experiment&target.label=ZNF148
ZNF169	2	?type=Experiment&target.label=ZNF169
ZNF174	2	?type=Experiment&target.label=ZNF174
ZNF175	2	?type=Experiment&target.label=ZNF175
ZNF18	2	?type=Experiment&target.label=ZNF18
ZNF180	2	?type=Experiment&target.label=ZNF180
ZNF211	2	?type=Experiment&target.label=ZNF211
ZNF221	2	?type=Experiment&target.label=ZNF221
ZNF224	2	?type=Experiment&target.label=ZNF224
ZNF23	2	?type=Experiment&target.label=ZNF23
ZNF239	2	?type=Experiment&target.label=ZNF239
ZNF253	2	?type=Experiment&target.label=ZNF253
ZNF257	2	?type=Experiment&target.label=ZNF257
ZNF264	2	?type=Experiment&target.label=ZNF264
ZNF280B	2	?type=Experiment&target.label=ZNF280B
ZNF280D	2	?type=Experiment&target.label=ZNF280D
ZNF281	2	?type=Experiment&target.label=ZNF281
ZNF282	2	?type=Experiment&target.label=ZNF282
ZNF292	2	?type=Experiment&target.label=ZNF292
ZNF302	2	?type=Experiment&target.label=ZNF302
ZNF311	2	?type=Experiment&target.label=ZNF311
ZNF316	2	?type=Experiment&target.label=ZNF316
ZNF324	2	?type=Experiment&target.label=ZNF324
ZNF326	2	?type=Experiment&target.label=ZNF326
ZNF34	2	?type=Experiment&target.label=ZNF34
ZNF350	2	?type=Experiment&target.label=ZNF350
ZNF362	2	?type=Experiment&target.label=ZNF362
ZNF382	2	?type=Experiment&target.label=ZNF382
ZNF395	2	?type=Experiment&target.label=ZNF395
ZNF414	2	?type=Experiment&target.label=ZNF414
ZNF423	2	?type=Experiment&target.label=ZNF423
ZNF431	2	?type=Experiment&target.label=ZNF431
ZNF444	2	?type=Experiment&target.label=ZNF444
ZNF48	2	?type=Experiment&target.label=ZNF48
ZNF501	2	?type=Experiment&target.label=ZNF501
ZNF510	2	?type=Experiment&target.label=ZNF510
ZNF511	2	?type=Experiment&target.label=ZNF511
ZNF513	2	?type=Experiment&target.label=ZNF513
ZNF530	2	?type=Experiment&target.label=ZNF530
ZNF547	2	?type=Experiment&target.label=ZNF547
ZNF548	2	?type=Experiment&target.label=ZNF548
ZNF549	2	?type=Experiment&target.label=ZNF549
ZNF558	2	?type=Experiment&target.label=ZNF558
ZNF561	2	?type=Experiment&target.label=ZNF561
ZNF571	2	?type=Experiment&target.label=ZNF571
ZNF577	2	?type=Experiment&target.label=ZNF577
ZNF580	2	?type=Experiment&target.label=ZNF580
ZNF589	2	?type=Experiment&target.label=ZNF589
ZNF608	2	?type=Experiment&target.label=ZNF608
ZNF624	2	?type=Experiment&target.label=ZNF624
ZNF629	2	?type=Experiment&target.label=ZNF629
ZNF644	2	?type=Experiment&target.label=ZNF644
ZNF660	2	?type=Experiment&target.label=ZNF660
ZNF670	2	?type=Experiment&target.label=ZNF670
ZNF697	2	?type=Experiment&target.label=ZNF697
ZNF7	2	?type=Experiment&target.label=ZNF7
ZNF76	2	?type=Experiment&target.label=ZNF76
ZNF766	2	?type=Experiment&target.label=ZNF766
ZNF768	2	?type=Experiment&target.label=ZNF768
ZNF770	2	?type=Experiment&target.label=ZNF770
ZNF776	2	?type=Experiment&target.label=ZNF776
ZNF777	2	?type=Experiment&target.label=ZNF777
ZNF778	2	?type=Experiment&target.label=ZNF778
ZNF780A	2	?type=Experiment&target.label=ZNF780A
ZNF781	2	?type=Experiment&target.label=ZNF781
ZNF785	2	?type=Experiment&target.label=ZNF785
ZNF788	2	?type=Experiment&target.label=ZNF788
ZNF792	2	?type=Experiment&target.label=ZNF792
ZNF83	2	?type=Experiment&target.label=ZNF83
ZSCAN18	2	?type=Experiment&target.label=ZSCAN18
ZSCAN21	2	?type=Experiment&target.label=ZSCAN21
ZSCAN30	2	?type=Experiment&target.label=ZSCAN30
ZSCAN5A	2	?type=Experiment&target.label=ZSCAN5A
aha-1	2	?type=Experiment&target.label=aha-1
alr-1	2	?type=Experiment&target.label=alr-1
ceh-16	2	?type=Experiment&target.label=ceh-16
ceh-28	2	?type=Experiment&target.label=ceh-28
chif	2	?type=Experiment&target.label=chif
crp	2	?type=Experiment&target.label=crp
dl	2	?type=Experiment&target.label=dl
dmd-4	2	?type=Experiment&target.label=dmd-4
dpn	2	?type=Experiment&target.label=dpn
elav	2	?type=Experiment&target.label=elav
eor-1	2	?type=Experiment&target.label=eor-1
ets-4	2	?type=Experiment&target.label=ets-4
foxo	2	?type=Experiment&target.label=foxo
fru	2	?type=Experiment&target.label=fru
gro	2	?type=Experiment&target.label=gro
